"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Peptide Metabolic Process (GO:0006518)","1/56",0.041200627604441,0.0738177911246236,0,0,25.8831168831169,82.5490709964023,"SPCS3"
"Negative Regulation Of Protein Modification Process (GO:0031400)","1/78",0.0569487684566198,0.097951881745386,0,0,18.4675324675325,52.9206203994512,"CDYL"
"Positive Regulation Of Translation (GO:0045727)","1/108",0.0780347023483601,0.129057392345365,0,0,13.2696929238985,33.8457006577982,"BOLL"
"Protein Processing (GO:0016485)","1/117",0.0842741558805734,0.134214396402395,0,0,12.23460591133,30.2645003686936,"SPCS3"
"Protein Targeting (GO:0006605)","1/129",0.0925321345681363,0.142102920943924,0,0,11.0809151785714,26.3747864855391,"SPCS3"
"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)","1/180",0.126859212982619,0.188101591663883,0,0,7.90343176376696,16.318036681289,"FRG1"
"Transcription By RNA Polymerase II (GO:0006366)","1/192",0.134758094408635,0.188525194752107,0,0,7.40239341810022,14.8364246743617,"ELOA2"
"DNA-templated Transcription (GO:0006351)","1/199",0.139334923613955,0.188525194752107,0,0,7.13816738816739,14.0684336645548,"ELOA2"
"Regulation Of Translation (GO:0006417)","1/202",0.141289496265887,0.188525194752107,0,0,7.03056147832267,13.7584174108954,"EIF1B"
"mRNA Splicing, Via Spliceosome (GO:0000398)","1/211",0.147128385643502,0.188525194752107,0,0,6.72619047619048,12.8904057313098,"FRG1"
"mRNA Processing (GO:0006397)","1/214",0.149066433059805,0.188525194752107,0,0,6.63044936284373,12.6201534025028,"FRG1"
"Protein Transport (GO:0015031)","1/313",0.210763513755235,0.258938031185003,0,0,4.50389194139194,7.01264335375703,"KRT18"
"Proteolysis (GO:0006508)","1/330",0.220928282107776,0.263886559184288,0,0,4.26747720364742,6.44353699773361,"SPCS3"
"Negative Regulation Of Programmed Cell Death (GO:0043069)","1/381",0.250694290223515,0.291347418367869,0,0,3.68515037593985,5.09848311536225,"KRT18"
"Negative Regulation Of Apoptotic Process (GO:0043066)","1/482",0.306536264928833,0.346869983998416,0,0,2.8963468963469,3.42469621224544,"KRT18"
"Regulation Of Apoptotic Process (GO:0042981)","1/705",0.416368262292448,0.459072699450648,0,0,1.95627029220779,1.71405500763709,"KRT18"
"Regulation Of DNA-templated Transcription (GO:0006355)","2/1922",0.430009999018356,0.462260748944733,0,0,1.44751602564103,1.2216265424452,"HSF2;ELOA2"
"Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)","1/938",0.513631551853918,0.538686749505329,0,0,1.45205061747218,0.967427410882662,"HSF2"
"Positive Regulation Of DNA-templated Transcription (GO:0045893)","1/1243",0.618187227651059,0.63290597116656,0,0,1.07792730618818,0.51844413192594,"HSF2"
"Regulation Of Transcription By RNA Polymerase II (GO:0006357)","1/2028",0.79897918934194,0.79897918934194,0,0,0.632814151807738,0.142016392060522,"HSF2"
